Sr No,Member Id,Unit Name,Contact Person,Chapter,Category
226,460,Intech Engineers,S.K. Tyagi,Noida,SCIENTIFIC INSTRUMENTS & SUPPLIES
227,461,B.T. Corporation,Nitin Saxena,Kanpur Dehat,ELECTRICAL & ELECTRONICS
228,464,S.N. Chemicals Pvt. Ltd.,"S.K. Pandey, Neha Pandey",Kanpur Dehat,CHEMICAL & PETROLEUM
229,465,Adit Gramodhyog,Rajiv Kumar Sharma,Kanpur Dehat,"PAPER, PRINTING & PUBLISHING"
230,467,"M. B Oil Mills Pvt. Ltd.,",S. L. Baid,Noida,CHEMICAL & PETROLEUM
231,471,Vaibhav Edibles P. Ltd,Satyendra Kumar Gupta,Kanpur Dehat,AGRO & FOOD PROCESSING
232,474,Talwar Industries,Vishwamitra Talwar,Shahjahanpur,FURNITURE & FURNISHINGS
233,477,"Opal Paints Products Pvt. Ltd.,",Gaurav Uppal/ Sudhir Uppal,Noida,PAINTS & VARNISHES
234,478,Santosh Oil Mill,Santosh,Head Office,AGRO & FOOD PROCESSING
235,480,Ayaan Food Industries,TAUQUEER AHMAD ,Amethi,AGRO & FOOD PROCESSING
236,485,Sakesar Engineers Pvt. Ltd.,N. K. Kharbanda,Noida,ENGINEERING COMPONENTS & SUPPLIES
237,491,Himalayan Micro-Nutrients (P) Ltd.,Anuj Kumar Gupta,Barabanki,RUBBER & RUBBER PRODUCTS
238,496,Rex(U&A) Remedies (P)Ltd., Shoyeb Akram,Greater Noida,PHARMACEUTICAL & MEDICAL PRODUCTS
239,500,Thermo Engineers,Laxmi Singh,Greater Noida,
240,501,Triveni Electroplast Pvt. Ltd. ,Rajesh Kundra ,Noida,ELECTRICAL & ELECTRONICS
241,504,S.P. Sortex Rice Exports,Ashish Kumar ,Prayagraj,AGRO & FOOD PROCESSING
242,507,Hindustan Rubber Industries,Jaspal Batra,Greater Noida,
243,511,Sneh Raman Electricals Pvt. Ltd.,Raman Chawla,Noida,
